"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-01",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-02",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-04",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-05",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-06",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-07",,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-08",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-09",,,,,,,"0.22",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-10",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-11",,,,,,,"0.12",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-12",,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-15",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MNMW0011","AUSTIN 1.5 WSW, MN US","43.66596","-93.004118","370.0","2024-01-17",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
